id,Name,priority
197647,Paint; Ceiling Lining; Acrylic,2
197653,Paint; Ceiling Lining; Acrylic; Heavy Duty,2
202310,Water Cooler; 15L,2
202304,Water Cooler; Floor Mount; Bubbler,2
202309,Water Cooler; Floor Mount; Twin Bubbler,2
202545,Water Reticulation System; AC Chilled; Condenser,2
202647,Evaporative Cooler; 12000m3/hr,2
202441,Evaporative Cooler; 21000m3/hr,2
202442,Evaporative Cooler; 51000m3/hr,3
202349,Air Chiller; Helical Rotary; 1000kW,2
202440,Air Chiller; Helical Rotary; 200kW,3
202439,Air Chiller; Helical Rotary; 300kW,2
202543,Air Chiller; Helical Rotary; 600kW,2
202352,Cooling Tower,3
202549,Cooling Tower; 1.2MW,3
197276,Shade Structure; Vertical Vergola; Automatic,2
197277,Shade Structure; Vertical Vergola; Manual,2
197202,Automatic Door; Correctional Services,2
197203,Automatic Gate,2
196894,Bed; High Security,2
197420,Counter; Reception; Prestige,2
197208,Detection; Mobile Phone,2
196787,Door Frame; Steel; Reinforced HD,2
196768,Door; Security; Prison,2
197247,Door; Security; Steel,2
197503,Door; Security; Steel,2
197512,Door; Security; Steel; Prison Glass,2
197505,Door; Security; Timber Solid; Glass view,2
203822,Fence: high security; razer full height; 6000mm hi,2
203921,Fence; Chainmesh; Barb Wire; 2.1m,2
203824,Fence; Chainmesh; Razor Wire; 3.6m,2
203861,Fence; Electrified,2
203823,Fence; Razor Wire; High Security; 6m,2
196781,Floor; Steel Mesh; Heavy Duty,2
203912,Gal welded mesh; tubular posts; roll top - m2,1
197204,Gate; Swing; Security,2
202347,Light; High Security; Secure,2
203877,Lighting; Security,2
197501,Lock; Door; Security,2
197197,Logic Controller; Programmable,2
196788,Mirror; Convex; High Security,2
197209,Number Plate Recognition System,2
196767,Prisoners Dock; Modular,2
197212,RFID Tagging System,2
197184,Riot Helmet,2
197179,Riot Shield,2
197205,Secure Entrance System,2
197196,Security Infrastructure; Network Switches,2
202359,Security Mantrap; Replacement Only,2
197213,Security System; Hard Drives,2
197218,Security; Lock; Electric,2
203817,Security; Steel Posts; 3.8m,2
203818,Security; Steel Posts; 6m,2
197194,Server; Digital Video Systems,2
202484,Switch; Isolation,2
196895,Table; Steel; High Security; Stools,2
196782,Wall; Expanded Steel Mesh; Heavy Duty,2
196789,Window; 16mm Steel Bars; High Security,2
196778,Window; Glass Louvre; Heavy Duty,2
196790,Window; Lexan; Steel Frame,2
196779,Window; Metal; Louvred; Heavy Duty,2
196791,Window; Prison; Attack Resistant,2
196786,Window; Steel Frame; Reinforced; Heavy Duty,2
196780,Window;Steel Frame; Lexan Louvred; Heavy Duty,2
202322,Piping; Insulated; Chilled 100NB,2
202312,Pool Filter; Water,2
202324,Valve; Butterfly; Cast Iron; 100mm,2
202325,Valve; Gate; Cast Iron; 100mm,2
203812,Water Meter,2
202308,Water Pressure Unit,2
202307,Water Softener Unit,2
197645,Paint; Door,2
197645,Paint; Door & Surounds,2
202853,Vacuum Degasser,2
203866,Drinking Fountain,2
203924,Tap; Bubbler Combined,2
202454,Dumbwaiter; Two Floor; 450kg,2
202840,Dust Extractor,1
196906,Lectern; Chapel,2
203956,Garden Edging; Brickwork; 230mm,2
203954,Garden Edging; Concrete Block; 200mmx400mm,2
203955,Garden Edging; Rock,2
203953,Garden Edging; Timber,2
202604,Emergency Power Supply; Diesel; 1000kVA,3
202599,Emergency Power Supply; Diesel; 100kVA,3
202600,Emergency Power Supply; Diesel; 125kVA,3
202601,Emergency Power Supply; Diesel; 350kVA,3
202755,Emergency Power Supply; Diesel; 35kVA,3
202602,Emergency Power Supply; Diesel; 450kVA,2
202603,Emergency Power Supply; Diesel; 500kVA,2
202597,Emergency Power Supply; Diesel; 50kVA,2
202598,Emergency Power Supply; Diesel; 80kVA,2
202419,Generator; Diesel; Emergency; 2000kVA,2
202832,Light; Emergency Exit Sign,3
202595,Light; Emergency Power System,2
202633,Light; Emergency; Fluoro 2Hr,2
202596,Light; Emergency; Spitfire,2
202834,UPS; 1 Phase; 10 kVA 7kW 30min,2
202584,UPS; 3 Phase; 30 kVA 24kW 30min,2
202629,UPS; 3 Phase; 33 kVA 24kW 30min; CS,2
202585,UPS; 3 Phase; 500 kVA 400kW 10min,2
202847,UPS; 3 Phase; 800kVA 600kW 10min,2
202630,UPS; Battery Bank,2
202614,Cabinet; Biological safety,2
202396,Cupboard; Fume,2
202396,Cabinet; Fume,3
202470,AC Control System; Variable Air Volume,2
202546,AC; Control System,2
202525,AC; Control System; Basic,2
202547,AC; Control System; DDC,1
202387,AC; Control System; Mechanical,2
202775,Cabinet; Control,3
202876,Control System; Generator; MSB,2
202328,Manifold; Gas,2
202329,Monitor; Decibel,2
202331,Monitor; Indoor Air,1
202330,Monitor; Lux,2
202356,Room AC; Thermostat,2
202408,Escalator; Glass Balustrade; 1m carriage; 3m rise,2
202409,Escalator; Solid Balustrade; 1m carriage; 3m rise,2
202407,Travalator; Glass balastrade; 1m carriage; 30m,2
202406,Travelator; Solid balastrade; 1m carriage; 30m,3
202289,AC Register; Ceiling,2
202838,Exhaust Fan; Ceiling; Domestic,2
202389,Exhaust Fan Ventilation,2
202389,Exhaust Fan,2
202389,Exhaust Fan; Small,2
202412,Exhaust Fan; Wall; Domestic,2
202413,Exhaust Fan; Window; Domestic,2
202648,Vent Fans Medium,2
202648,Vent Fan Medium,2
202648,Exhaust Ventilator; Medium,2
202393,Exhaust Ventilator; Small,2
202455,Fan; Air Supply,2
202635,Fan; Ceiling,2
202635,Fan; Ceiling; 800mm,2
202390,Fan; Floor Mounted; 1m Diameter,2
202392,Fan; Pressurisation Air; Small,2
202365,Fan; Ventilation; Carpark,2
202624,Fan; Ventilation; Jet; Exhaust,2
202395,Fan; Ventilation; Large,2
202411,Exhaust Ventilator; Large,2
202403,Nederman Arm,2
197500,Door; Clear; Industrial Swing; Heavy Duty,2
203830,Cattle Crush; Galvanised Steel,2
203828,Cattle Fence; Galvanised Steel,2
203829,Cattle Gate; Galvanised Steel,2
203831,Cattle Race; Galvanised Steel,2
203857,Gate; Chainmesh; Vehicle; 5m,2
203859,Gate; Colourbond; 0.9m,2
203764,Gate; Steel; Pool Safety,2
203918,Lattice; Timber,2
203799,Outdoor Awning; Roll up,2
203858,Palisade; Personal Gate; 0.9m,2
203919,Palisade; RSJ Posts; High Security 2.4m,2
204013,Pergola; Timber,2
203805,Pergola; Timber; Shade Cloth,2
204038,Razor Wire,2
203943,Sight Screen;Cricket; Metal Painted,2
203942,Sight Screen;Cricket; Steel Post,2
197288,Ceiling; Soffit,2
197288,Ceiling; Fibre Cement; External,2
197244,Door; Sliding; 3 FHR,2
203976,Pavement; Treated Pine; 200mm,2
197293,Paint; Exterior,2
197293,Paint; External,2
197296,Wall; Alucobond Panel Cladding,2
197292,Wall; Aluminium Cladding,2
197291,Wall; Aluminium Panel Cladding,2
204000,Wall; Block; Painted; Soccer Training,2
203999,Wall; Block; Painted; Tennis Training,2
197289,Wall; Cement Render,2
197356,Wall; Chainmesh; Secure,2
197298,Wall; Concrete,2
197297,Wall; Concrete Block,2
197299,Wall; Face Brick,3
197295,Wall; Fibrecement,2
197318,Wall; Hardie Plank,2
203756,Wall; Prefab Concrete; 300mm,2
197357,Wall; Sandstone; Coping Sills,2
197290,Wall; Steel Cladding,2
203926,Wall; Timber; Soccer Training,2
197294,Wall; Weatherboard Cladding,2
197377,Window; Aluminium,2
197379,Window; Steel Frame,2
197378,Window; Timber Frame,2
203968,Fence; Brush; Steel Supports; 1.8m,2
203980,Fence; Chainmesh; 1.8m,3
203963,Fence; Chainmesh; Metal Post; Double Metal Rail,2
203958,Fence; Chainmesh; Metal Post; Single Metal Rail,2
203922,Fence; Chainmesh; Tennis Court; 3.6m,2
203965,Fence; Chainmesh; Tennis Court; PVC; 3.6m,2
203787,Fence; Colourbond; 1.8m,2
203909,Fence; Galvanised Chainmesh; 1.2m,2
203920,Fence; Paling; 1.8m,2
203964,Fence; Paling; 1.8m; Painted,2
203910,Fence; Paling; 1m,2
203819,Fence; Paling; 1m; Painted,2
203765,Fence; Pool Safety; Steel,2
203961,Fence; Steel Post; Two Metal Rail,2
203966,Fence; Timber Barrier; Single Rail,2
203957,Fence; Timber Post; Single Metal Rail,3
203911,Fence; Timber; Two Rail; 1m,2
203767,Fence; Tubular Spearhead; Steel; 1.7m,2
203900,Fence; Welded Wire Mesh; Roll Top; 1.2m,2
